,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious Cases,Critical Cases,Total Test
129,Aruba,64,0,0,0,1,63,0,599,8083
130,El Salvador,62,+6,3,0,2,57,4,10,0
131,Guatemala,61,0,2,0,15,44,1,3,63
132,French Guiana,61,0,0,0,22,39,1,204,0
133,Jamaica,55,+2,3,0,7,45,0,19,182
134,Barbados,52,0,0,0,0,52,0,181,1329
135,Djibouti,50,0,0,0,8,42,0,51,0
136,Uganda,48,0,0,0,0,48,0,1,57
137,Congo,45,+23,5,+3,2,38,0,8,0
138,Macao,44,0,0,0,10,34,0,68,0
139,Ethiopia,43,+5,0,0,4,39,1,0.4,16
140,Mali,41,0,3,0,1,37,0,2,0
141,Togo,41,0,3,0,17,21,0,5,0
142,French Polynesia,40,0,0,0,0,40,1,142,2075
143,Zambia,39,0,1,0,2,36,0,2,34
144,Bermuda,37,0,0,0,14,23,0,594,4673
145,Cayman Islands,35,0,1,0,1,33,0,533,4854
146,Saint Martin,29,+5,2,0,7,20,6,750,0
147,Eritrea,29,0,0,0,0,29,0,8,0
148,Bahamas,28,0,4,0,0,24,1,71,0
149,Sint Maarten,25,+2,4,0,6,15,0,583,1912
150,Guyana,24,+1,4,0,0,20,0,31,118
151,Gabon,21,0,1,0,1,19,0,9,0
152,Myanmar,21,0,1,0,0,20,0,0.4,0
153,Haiti,21,+1,0,0,1,20,0,2,22
154,Tanzania,20,0,1,0,3,16,0,0.3,0
155,Syria,19,+3,2,0,2,15,0,1,0
156,Maldives,19,0,0,0,13,6,0,35,0
157,Libya,18,0,1,0,0,17,0,3,43
158,Guinea-Bissau,18,0,0,0,0,18,0,9,0
159,New Caledonia,17,0,0,0,1,16,0,60,4869
160,Benin,16,0,0,0,2,14,0,1,0
161,Equatorial Guinea,16,0,0,0,1,15,0,11,0
162,Namibia,16,+2,0,0,3,13,0,6,118
163,Antigua and Barbuda,15,0,0,0,0,15,1,153,408
164,Dominica,14,0,0,0,0,14,0,194,3542
165,Mongolia,14,0,0,0,2,12,0,4,0
166,Saint Lucia,14,0,0,0,1,13,0,76,0
167,Fiji,12,0,0,0,0,12,0,13,0
168,Grenada,12,0,0,0,0,12,2,107,400
169,Curaçao,11,0,1,0,5,5,0,67,0
170,Greenland,11,0,0,0,3,8,0,194,9547
171,Laos,11,+1,0,0,0,11,0,2,83
172,Angola,10,0,2,0,2,6,0,0.3,0
173,Sudan,10,0,2,0,2,6,0,0.2,0
174,Liberia,10,0,1,0,3,6,0,2,0
175,Suriname,10,0,1,0,0,9,0,17,0
176,Mozambique,10,0,0,0,1,9,0,0.3,11
177,Seychelles,10,0,0,0,0,10,0,102,0
178,MS Zaandam,9,0,2,0,0,7,0,0,0
179,Zimbabwe,9,0,1,0,0,8,0,0.6,21
180,Nepal,9,0,0,0,1,8,0,0.3,52
181,Chad,9,0,0,0,0,9,0,0.5,0
182,Saint Kitts and Nevis,9,0,0,0,0,9,0,169,2124
183,Eswatini,9,0,0,0,0,9,0,8,0
184,CAR,8,0,0,0,0,8,0,2,0
185,Cabo Verde,7,0,1,0,0,6,0,13,0
186,Vatican City,7,0,0,0,0,7,0,8739,0
187,St. Vincent Grenadines,7,0,0,0,1,6,0,63,0
188,Somalia,7,0,0,0,1,6,0,0.4,0
189,Mauritania,6,0,1,0,2,3,0,1,14
190,Montserrat,6,0,0,0,0,6,0,1202,0
191,St. Barth,6,0,0,0,1,5,0,607,0
192,Sierra Leone,6,+2,0,0,0,6,0,0.8,0
193,Nicaragua,5,0,1,0,0,4,0,0.8,0
194,Bhutan,5,0,0,0,2,3,0,6,0
195,Turks and Caicos,5,0,0,0,0,5,0,129,0
196,Botswana,4,0,1,0,0,3,0,2,74
197,Gambia,4,0,1,0,2,1,0,2,0
198,Belize,4,0,0,0,0,4,0,10,63
199,Malawi,4,0,0,0,0,4,0,0.2,0
200,Western Sahara,4,0,0,0,0,4,0,7,0
201,Anguilla,3,0,0,0,0,3,0,200,0
202,British Virgin Islands,3,0,0,0,0,3,0,99,0
203,Burundi,3,0,0,0,0,3,0,0.3,0
204,Caribbean Netherlands,2,0,0,0,0,2,0,76,381
205,Falkland Islands,1,0,0,0,0,1,0,287,0
206,Papua New Guinea,1,0,0,0,0,1,0,0.1,8
207,South Sudan,1,+1,0,0,0,1,0,0.09,0
208,Timor-Leste,1,0,0,0,0,1,0,0.8,0
209,China,81669,+30,3329,+3,76964,1376,295,57,0
