,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious Cases,Critical Cases,Total Test
133,Aruba,74,0,0,0,14,60,0,693,8935
134,Togo,70,+5,3,0,23,44,0,8,211
135,Barbados,63,0,3,0,6,54,4,219,1938
136,Jamaica,63,0,3,0,10,50,0,21,182
137,Mali,56,0,5,0,12,39,0,3,0
138,Ethiopia,55,+3,2,0,4,49,1,0.5,22
139,Uganda,52,0,0,0,0,52,0,1,72
140,French Polynesia,47,0,0,0,0,47,0,167,2471
141,Congo,45,0,5,0,2,38,0,8,0
142,Cayman Islands,45,0,1,0,6,38,0,685,7288
143,Macao,45,+1,0,0,10,35,1,69,0
144,Sint Maarten,40,0,6,0,1,33,2,933,2612
145,Bermuda,39,0,2,0,17,20,0,626,4913
146,Zambia,39,0,1,0,7,31,0,2,34
147,Bahamas,36,+3,6,0,5,25,1,92,0
148,Guyana,33,0,5,0,8,20,4,42,168
149,Guinea-Bissau,33,0,0,0,0,33,0,17,0
150,Saint Martin,32,0,2,0,7,23,6,828,0
151,Eritrea,31,0,0,0,0,31,0,9,0
152,Gabon,30,0,1,0,1,28,0,13,0
153,Benin,26,0,1,0,5,20,0,2,0
154,Haiti,25,0,1,0,0,24,0,2,23
155,Tanzania,24,0,1,0,5,18,0,0.4,0
156,Myanmar,22,0,3,+2,0,19,0,0.4,23
157,Libya,21,+1,1,0,2,18,0,3,52
158,Antigua and Barbuda,19,0,2,+1,0,17,1,194,408
159,Syria,19,0,2,0,3,14,0,1,0
160,Maldives,19,0,0,0,13,6,0,35,0
161,New Caledonia,18,0,0,0,1,17,0,63,8126
162,Angola,17,0,2,0,2,13,0,0.5,0
163,Equatorial Guinea,16,0,0,0,3,13,0,11,609
164,Mongolia,16,+1,0,0,4,12,0,5,0
165,Namibia,16,0,0,0,3,13,0,6,142
166,Dominica,15,0,0,0,1,14,0,208,4070
167,Fiji,15,0,0,0,0,15,0,17,0
168,Laos,15,+1,0,0,0,15,0,2,107
169,Liberia,14,0,3,0,3,8,0,3,0
170,Sudan,14,0,2,0,2,10,0,0.3,0
171,Saint Lucia,14,0,0,0,1,13,0,76,0
172,Curaçao,13,0,1,0,7,5,0,79,0
173,Grenada,12,0,0,0,0,12,2,107,400
174,Zimbabwe,11,0,2,0,0,9,0,0.7,25
175,Greenland,11,0,0,0,10,1,0,194,13246
176,Saint Kitts and Nevis,11,0,0,0,0,11,0,207,3440
177,Seychelles,11,0,0,0,0,11,0,112,0
178,Suriname,10,0,1,0,3,6,0,17,0
179,Chad,10,0,0,0,2,8,0,0.6,0
180,Mozambique,10,0,0,0,1,9,0,0.3,14
181,Eswatini,10,0,0,0,4,6,0,9,0
182,MS Zaandam,9,0,2,0,0,7,0,0,0
183,Nepal,9,0,0,0,1,8,0,0.3,73
184,Montserrat,9,0,0,0,0,9,1,1803,7212
185,Malawi,8,0,1,0,0,7,1,0.4,0
186,Turks and Caicos,8,0,1,0,0,7,0,207,1576
187,CAR,8,0,0,0,0,8,0,2,0
188,St. Vincent Grenadines,8,0,0,0,1,7,0,72,505
189,Somalia,8,0,0,0,1,7,0,0.5,0
190,Belize,7,0,1,0,0,6,1,18,674
191,Cabo Verde,7,0,1,0,1,5,0,13,0
192,Vatican City,7,0,0,0,0,7,0,8739,0
193,Sierra Leone,7,+1,0,0,0,7,0,0.9,0
194,Botswana,6,0,1,0,0,5,0,3,491
195,Mauritania,6,0,1,0,2,3,0,1,14
196,Nicaragua,6,0,1,0,0,5,0,0.9,0
197,St. Barth,6,0,0,0,1,5,0,607,0
198,Bhutan,5,0,0,0,2,3,0,6,1511
199,Gambia,4,0,1,0,2,1,0,2,0
200,Sao Tome and Principe,4,0,0,0,0,4,0,18,87
201,Western Sahara,4,0,0,0,0,4,0,7,0
202,Anguilla,3,0,0,0,0,3,0,200,0
203,British Virgin Islands,3,0,0,0,0,3,0,99,0
204,Burundi,3,0,0,0,0,3,0,0.3,0
205,Caribbean Netherlands,2,0,0,0,0,2,0,76,381
206,Falkland Islands,2,0,0,0,0,2,0,575,0
207,Papua New Guinea,2,0,0,0,0,2,0,0.2,8
208,South Sudan,2,0,0,0,0,2,0,0.2,0
209,Saint Pierre Miquelon,1,0,0,0,0,1,0,173,0
210,Timor-Leste,1,0,0,0,0,1,0,0.8,0
211,China,81802,+62,3333,+2,77279,1190,189,57,0
