,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious Cases,Critical Cases,Total Test
0,World,1450248,+19329,83476,+1442,309358,1057414,47999,186,0
1,USA,400549,+214,12857,+16,21711,365981,9169,1210,6291
2,Spain,146690,+4748,14555,+510,48021,84114,7069,3137,7593
3,Italy,135586,0,17127,0,24392,94067,3792,2243,12495
4,Germany,109180,+1517,2066,+50,36081,71033,4895,1303,10962
5,France,109069,0,10328,0,19337,79404,7131,1671,3436
6,Iran,64586,+1997,3993,+121,27039,33554,3987,769,2514
7,UK,55242,0,6159,0,135,48948,1559,814,3929
8,Turkey,34109,0,725,0,1582,31802,1474,404,2643
9,Belgium,23403,+1209,2240,+205,4681,16482,1276,2019,6947
10,Switzerland,22789,+536,858,+37,8704,13227,391,2633,19867
11,Netherlands,20549,+969,2248,+147,250,18051,1424,1199,5053
12,Canada,17897,0,381,0,4050,13466,426,474,9223
13,Brazil,14152,+118,699,+13,127,13326,296,67,258
14,Portugal,13141,+699,380,+35,196,12565,245,1289,12630
15,Austria,12881,+242,273,+30,4512,8096,267,1430,13408
16,S. Korea,10384,+53,200,+8,6776,3408,55,203,9310
17,Israel,9404,+156,72,+7,801,8531,147,1086,13557
18,Russia,8672,+1175,63,+5,580,8029,8,59,6237
19,Sweden,8419,+726,687,+96,205,7527,678,834,5416
20,Norway,6086,0,93,+4,32,5961,78,1123,21009
21,Australia,6013,+25,50,+1,2813,3150,87,236,12524
22,Ireland,5709,0,210,0,25,5474,165,1156,8604
23,India,5480,+129,164,+4,468,4848,0,4,102
24,Denmark,5386,+315,218,+15,1621,3547,127,930,10086
25,Chile,5116,0,43,0,898,4175,337,268,2988
26,Czechia,5033,+16,91,+3,181,4761,103,470,9215
27,Poland,5000,+152,136,+7,222,4642,160,132,2623
28,Romania,4761,+344,215,+18,528,4018,162,247,2454
29,Japan,4257,0,93,0,622,3542,80,34,437
30,Pakistan,4183,+148,58,+1,467,3658,25,19,191
31,Malaysia,4119,+156,65,+2,1487,2567,76,127,1799
32,Ecuador,3995,0,220,0,140,3635,156,226,817
33,Philippines,3870,+106,182,+5,96,3592,1,35,224
34,Luxembourg,2970,0,44,0,500,2426,35,4745,41059
35,Indonesia,2956,+218,240,+19,222,2494,0,11,52
36,Peru,2954,0,107,0,1301,1546,109,90,654
37,Saudi Arabia,2932,+137,41,0,615,2276,41,84,0
38,Mexico,2785,+346,141,+16,633,2011,89,22,197
39,Serbia,2666,+219,65,+4,118,2483,112,305,1232
40,UAE,2659,+300,12,0,239,2408,1,269,54517
41,Finland,2487,+179,40,+6,300,2147,82,449,6588
42,Thailand,2369,+111,30,+3,888,1451,61,34,1030
43,Panama,2249,+149,59,+4,16,2174,91,521,2386
44,Qatar,2210,+153,6,0,178,2026,37,767,14515
45,Dominican Republic,1956,0,98,0,36,1822,147,180,419
46,Greece,1832,0,81,0,269,1482,90,176,2742
47,Colombia,1780,0,50,0,100,1630,76,35,598
48,South Africa,1749,0,13,0,95,1641,7,29,980
49,Argentina,1715,0,62,+2,338,1315,96,38,261
50,Ukraine,1668,+206,52,+7,35,1581,33,38,165
51,Singapore,1623,+142,6,0,406,1211,29,277,11110
52,Iceland,1616,+30,6,0,633,977,13,4736,90689
53,Algeria,1468,0,193,0,113,1162,46,33,77
54,Egypt,1450,0,94,0,276,1080,0,14,244
55,Croatia,1343,+61,19,+1,179,1145,36,327,3197
56,Morocco,1242,+58,91,+1,97,1054,1,34,152
57,New Zealand,1210,+50,1,0,282,927,4,251,9721
58,Estonia,1185,+36,24,+3,72,1089,11,893,18705
59,Iraq,1122,0,65,0,373,684,0,28,655
60,Slovenia,1091,+32,40,+4,120,931,35,525,14752
61,Belarus,1066,+205,13,0,77,976,33,113,4868
62,Moldova,1056,0,24,+2,40,992,80,262,1266
63,Hong Kong,961,+25,4,0,264,693,14,128,12900
64,Lithuania,912,+32,15,0,8,889,21,335,11060
65,Hungary,895,+78,58,+11,94,743,17,93,2665
66,Armenia,881,+28,9,+1,114,758,30,297,1840
67,Kuwait,855,+112,1,0,111,743,21,200,0
68,Bahrain,821,+10,5,0,467,349,3,482,30766
69,Bosnia and Herzegovina,799,+35,34,+1,79,686,4,244,2106
70,Azerbaijan,717,0,8,0,44,665,23,71,5257
71,Diamond Princess,712,0,11,0,619,82,10,0,0
72,Kazakhstan,709,+12,7,+1,54,648,21,38,3024
73,Cameroon,685,0,9,0,60,616,0,26,0
74,Slovakia,682,+101,2,0,13,667,3,125,3605
75,Tunisia,623,0,23,0,25,575,67,53,700
76,North Macedonia,617,+18,29,+3,35,553,15,296,2990
77,Bulgaria,581,+4,23,0,42,516,21,84,2288
78,Latvia,577,+29,2,0,16,559,5,306,12743
79,Lebanon,575,+27,19,0,62,494,29,84,1583
80,Andorra,564,+19,23,+1,52,489,17,7300,21653
81,Uzbekistan,545,+25,3,+1,30,512,8,16,0
82,Cyprus,494,0,9,0,47,438,13,409,10781
83,Costa Rica,483,0,2,0,24,457,14,95,1085
84,Uruguay,424,0,7,0,150,267,14,122,1649
85,Afghanistan,423,0,14,0,18,391,0,11,0
86,Oman,419,+48,2,0,72,345,3,82,0
87,Albania,400,+17,22,0,154,224,7,139,1039
88,Cuba,396,0,11,0,27,358,15,35,623
89,Burkina Faso,384,0,19,0,127,238,0,18,0
90,Taiwan,379,+3,5,0,67,307,0,16,1709
91,Réunion,358,0,0,0,40,318,4,400,0
92,Jordan,353,0,6,0,138,209,5,35,1666
93,Ivory Coast,349,0,3,0,41,305,0,13,0
94,Channel Islands,335,0,7,0,34,294,0,1927,6655
95,Honduras,312,+7,22,0,6,284,10,32,0
96,Malta,299,+6,0,0,5,294,4,677,28833
97,Ghana,287,0,5,0,31,251,2,9,0
98,San Marino,279,0,34,0,40,205,14,8223,17270
99,Niger,278,0,11,0,26,241,0,11,173
100,Kyrgyzstan,270,+42,4,0,33,233,5,41,1474
101,Mauritius,268,0,7,0,8,253,3,211,3863
102,Palestine,263,+2,1,0,44,218,0,52,3029
103,Nigeria,254,0,6,0,44,204,2,1,24
104,Vietnam,251,0,0,0,126,125,8,3,1131
105,Montenegro,248,+7,2,0,4,242,7,395,3207
106,Senegal,244,+7,2,0,113,129,1,15,0
107,Bangladesh,218,+54,20,+3,33,165,1,1,26
108,Bolivia,210,+16,15,+1,2,193,3,18,51
109,Georgia,208,+12,3,0,48,157,6,52,692
110,Sri Lanka,189,+4,7,+1,44,138,5,9,152
111,Faeroe Islands,184,0,0,0,131,53,1,3766,105458
112,DRC,180,0,18,0,9,153,0,2,0
113,Kenya,179,+7,6,0,9,164,2,3,92
114,Mayotte,171,0,2,0,22,147,3,627,4032
115,Venezuela,166,0,7,0,65,94,6,6,63
116,Isle of Man,158,+8,1,0,80,77,7,1858,20686
117,Martinique,152,0,4,0,50,98,20,405,0
118,Guinea,144,0,0,0,5,139,0,11,0
119,Guadeloupe,139,0,7,0,31,101,14,347,0
120,Brunei,135,0,1,0,91,43,3,309,20218
121,Djibouti,135,+45,0,0,25,110,0,137,3144
122,Paraguay,119,+4,5,0,15,99,1,17,286
123,Cambodia,117,+2,0,0,63,54,1,7,345
124,Gibraltar,113,0,0,0,60,53,0,3354,42741
125,Trinidad and Tobago,107,0,8,0,1,98,0,76,627
126,Rwanda,105,0,0,0,7,98,0,8,62
127,El Salvador,93,+15,5,+1,9,79,2,14,0
128,Madagascar,93,+5,0,0,11,82,1,3,0
129,Guatemala,80,+3,3,0,17,60,3,4,63
130,Monaco,79,0,1,0,4,74,4,2013,0
131,Liechtenstein,78,0,1,0,55,22,0,2046,23605
132,French Guiana,77,0,0,0,34,43,1,258,0
